Data Label,Subsystem,Measurement Location ,Description,Units
Volts A-N [U_AN_1=],PV,Attic,Instantaneous voltage difference between the Phase A live wire and neutral wire from inverter 1 (AC),V
Volts B-N [U_BN_1],PV,Attic,Instantaneous voltage difference between the Phase B live wire and neutral wire from inverter 1 (AC),V
Amps A [I_A_1],PV,Attic,Instantaneous current produced from the Phase A wire from inverter 1 (AC),A
Amps B [I_B_1],PV,Attic,Instantaneous current produced from the Phase B wire from inverter 1 (AC),V
"Watts, 3-Ph Total [W_3PhT_1]",PV,Attic,Instantaneous power produced from Inverter 1 (Single phase AC); meters utilize current transformers,W
"Power Factor, 3-Ph Total [PF_3PhT_1]",PV,Attic,Instantaneous power factor of electricity output from inverter 1 (Single Phase AC),
Frequency [F_1],PV,Attic,Instantaneous frequency of AC electricity output from inverter 1,Hz
"W-hours, Delivered [Wh_D_1]",PV,Attic,Cumulative energy delivered by inverter 1 from beginning of operation as measured by system using current transformers,Wh
Volts A-N [U_AN_2=],PV,Attic,Instantaneous voltage difference between the Phase A live wire and neutral wire from inverter 2 (AC),V
Volts B-N [U_BN_2],PV,Attic,Instantaneous voltage difference between the Phase B live wire and neutral wire from inverter 2 (AC),V
Amps A [I_A_2],PV,Attic,Instantaneous current produced from the Phase A wire from inverter 2 (AC),A
Amps B [I_B_2],PV,Attic,Instantaneous current produced from the Phase B wire from inverter 2 (AC),V
"Watts, 3-Ph Total [W_3PhT_2]",PV,Attic,Instantaneous power produced from Inverter 2 (Single phase AC); meters utilize current transformers,W
"Power Factor, 3-Ph Total [PF_3PhT_2]",PV,Attic,Instantaneous power factor of electricity output from inverter 2 (Single Phase AC),
Frequency [F_2],PV,Attic,Instantaneous frequency of AC electricity output from inverter 2,Hz
"W-hours, Delivered [Wh_D_2]",PV,Attic,Cumulative energy delivered by inverter 2 from beginning of operation as measured by system using current transformers,Wh
String Current [I_Str1],PV,Attic,Instantaneous direct current from string 1 feeding into inverter 1,A
String Current [I_Str2],PV,Attic,Instantaneous direct current from string 2 feeding into inverter 1,A
String Current [I_Str3],PV,Attic,Instantaneous direct current from string 3 feeding into inverter 2,A
String Current [I_Str4],PV,Attic,Instantaneous direct current from string 4 feeding into inverter 2,A
PV System 1 AC Power OS;  P_AC_PV1_OS,PV,Attic,Instantaneous AC power reading from inverter 1 as measured by current shunts,W
PV System 2 AC Power OS;  P_AC_PV2_OS,PV,Attic,Instantaneous AC power reading from inverter 1 as measured by current shunts,W
PV Insolation (H_Array),PV,Outdoor,The amount of sunlight impacting the array during the past minute.  ,kWh
Outdoor Amb. Temp,OutEnv,Outdoor,Instantaneous dry bulb temperature measured on roof of house,°C
Rooftop Wind Speed,OutEnv,Outdoor,Instantaneous wind speed measured on roof of house,m/s
Rooftop Wind Direction,OutEnv,Outdoor,"Instantaneous wind direction measured on roof of house; 0° means wind is blowing from true north; all other readings are taken relative to clockwise from true north.  For example, 90° means wind is blowing from true east to true west.   ",degrees
HRV Temp - Supply Out,Ventilation,Basement,Instantaneous dry bulb temperature in the supply duct outlet from the heat recovery ventilator; refers to outdoor air being brought into the house,°C
HRV Temp - Return In,Ventilation,Basement,Instantaneous dry bulb temperature in the return duct inlet to the heat recovery ventilator; refers to indoor air being exhausted from the house,°C
HRV Temp - Exhaust Out,Ventilation,Basement,Instantaneous dry bulb temperature in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house,°C
HRV Temp - Outdoor in,Ventilation,Basement,Instantaneous dry bulb temperature in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house,°C
HRV Dewpoint Temperature - Supply,Ventilation,Basement,Instantaneous dew point temperature in the supply duct outlet from the heat recovery ventilator; refers to outdoor air being brought into the house,°C
HRV Dewpoint Temperature - Return,Ventilation,Basement,Instantaneous dew point temperature in the return duct inlet to the heat recovery ventilator; refers to indoor air being exhausted from the house,°C
HRV Dewpoint Temperature - Exhaust,Ventilation,Basement,Instantaneous dew point temperature in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house,°C
HRV Dewpoint Temperature - Outdoor,Ventilation,Basement,Instantaneous dew point temperature in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house,°C
HRV fresh air pressure differential,Ventilation,Basement,Instantaneous pressure differential across heat recovery ventilator of the outdoor air stream,Inches H2O
HRV stale air pressure differential,Ventilation,Basement,Instantaneous pressure differential across heat recovery ventilator of the exhaust air stream,Inches H2O
HRV return flow rate,Ventilation,Basement,Instantaneous flow rate of air in the return flow duct entering the heat recovery ventilator; refers to indoor air being exhausted from the house,ft^3/min
HRV exhaust flow rate,Ventilation,Basement,Instantaneous flow rate of air in the exhaust duct outlet from the heat recovery ventilator; refers to indoor air being exhausted from the house,ft^3/min
HRV outdoor flow rate,Ventilation,Basement,Instantaneous flow rate of air in the outdoor inlet duct to the heat recovery ventilator; refers to outdoor air being brought into the house,ft^3/min
Energy - RP B-1 Plugs - Base A (Heliodyne HXs),SHW,Basement,Cumulative energy used by solar water heater pumps from midnight,Wh
Energy - RP B-2 Plugs - Base B,Electrical,Basement,Cumulative energy consumption at receptacle B in basement from midnight,Wh
Energy - RP B-3 Plugs - Base C,Electrical,Basement,Cumulative energy consumption at receptacle C in basement from midnight,Wh
Energy - RP B-4 Sump Pump,Electrical,Basement,Cumulative energy consumption of sump pump in basement from midnight,Wh
Energy - RP B-5 Lights - Basement Stair,Lighting,Basement,Cumulative energy consumption of lights over basement stairs from midnight,Wh
Energy - RP B-6 Spare,Electrical,Basement,Cumulative energy consumption of standby electrical load in basement from midnight,Wh
Energy - RP B-8 Plugs - BA1,Electrical,Bath1,Cumulative energy consumption at receptacles of bathroom 1 from midnight,Wh
Energy - RP B-13 Plugs - DR,Electrical,Dining Room,Cumulative energy consumption at receptacles of dining room from midnight,Wh
Energy - RP B-14 Plugs - BR4,Electrical,Bedroom4,Cumulative energy consumption at receptacles of bedroom 4 from midnight,Wh
Energy - RP B-15 Plugs - Entry Hall,Electrical,Entry Hallway,Cumulative energy consumption at receptacles in entry hallway from midnight,Wh
Energy - RP B-16 Plugs - LR,Electrical,Living Room,Cumulative energy consumption at receptacles of living room from midnight,Wh
Energy - RP B-17 Clothes Washer,Electrical,Utility,Cumulative energy consumption of clothes washer from midnight,Wh
Energy - RP B-18 Dryer (1of2),Electrical,Utility,Cumulative energy consumption of one leg of electrical supply to dryer from midnight; note that energy consumption from other leg is needed to get total energy consumption by dryer,Wh
Energy - RP B-19 Dehumidifier,HVAC,Basement,Cumulative energy consumption of dehumidifier from midnight,Wh
Energy - RP B-20 Dryer (2of2),Electrical,Utility,Cumulative energy consumption of one leg of electrical supply to dryer from midnight; note that energy consumption from other leg is needed to get total energy consumption by dryer,Wh
Energy - RP B-25 HRV,HVAC,Basement,Cumulative energy consumption of heat recovery ventilator from midnight,Wh
Energy - RP B-26 Heat Pump WH (1of2),DHW,Basement,Cumulative energy consumption of one leg of electrical supply to heat pump water heater from midnight; note that energy consumption from other leg is needed to get total energy consumption by heat pump water heater,Wh
Energy - RP B-28 Heat Pump WH (2of2),DHW,Basement,Cumulative energy consumption of one leg of electrical supply to heat pump water heater from midnight; note that energy consumption from other leg is needed to get total energy consumption by heat pump water heater,Wh
Energy - RP B-33 PV (1of2),PV,Basement,Cumulative energy fed into breaker panel by one leg of electrical supply from PV inverters from midnight; note that energy supplied from other leg is needed to get total energy supply from inverters,Wh
Energy - RP B-35 PV (2of2),PV,Basement,Cumulative energy fed into breaker panel by one leg of electrical supply from PV inverters from midnight; note that energy supplied from other leg is needed to get total energy supply from inverters,Wh
Energy - RP BA-1 Make-Up Air Damper,Ventilation,Attic,Cumulative energy consumption of make-up air damper located in attic from midnight,Wh
Energy - RP BA-2 Lights - 2nd Floor,Lighting,Bath2,Cumulative energy consumption of lighting in bathroom 2 from midnight,Wh
Energy - RP BA-3 Plugs - MBA (East),Electrical,MBath,Cumulative energy consumption from receptacles on east side of master bathroom from midnight,Wh
Energy - RP BA-4 Plugs - BA2 (South),Electrical,Bath2,Cumulative energy consumption from receptacles on south side of bathroom 2 from midnight,Wh
Energy - RP BA-5 Plugs - MBA (West),Electrical,MBath,Cumulative energy consumption from receptacles on west side of master bathroom from midnight,Wh
Energy - RP BA-6 Plugs - BA2 (North),Electrical,Bath2,Cumulative energy consumption from receptacles on north side of bathroom 2 from midnight,Wh
Energy - RP BA-7 Plugs - BR3,Electrical,Bedroom3,Cumulative energy consumption from receptacles in bedroom 3 from midnight,Wh
Energy - RP BA-8 Refrigerator,Electrical,Kitchen,Cumulative energy consumption by refrigerator from midnight,Wh
Energy - RP BA-9 Plugs - Kit (Sink),Electrical,Kitchen,Cumulative energy consumption by toaster from midnight,Wh
Energy - RP BA-10 Garbage Disposal,Electrical,Kitchen,Cumulative energy consumption by garbage disposal from midnight,Wh
Energy - RP BA-11 Plugs - Kit (Range),Electrical,Kitchen,Cumulative energy consumption by blender from midnight,Wh
Energy - RP BA-12 Plugs - Kit Peninsula,Electrical,Kitchen,Cumulative energy consumption by hand mixer and can opener from midnight,Wh
Energy - RP BA-14 Microwave,Electrical,Kitchen,Cumulative energy consumption by microwave oven from midnight,Wh
Energy - RP BA-21 Plugs - 2nd Floor,Electrical,Bath2,Cumulative energy consumption from receptacles in bathroom 2 from midnight,Wh
Energy - RP BA-23 Spare,Electrical,Basement,Cumulative energy consumption by computer network hardware in basement from midnight,Wh
Energy - RP BA-29 Plugs - BR2,Electrical,Bedroom2,Cumulative energy consumption from receptacles in bedroom 2 from midnight,Wh
Energy - RP BA-31 Plugs - MBR,Electrical,MBedroom,Cumulative energy consumption from receptacles in master bedroom from midnight,Wh
Energy - RP BA-32 Lights - 1st FloorA,Lighting,Multiple,"Cumulative energy consumption by a subset of lighting on first floor from midnight; includes living room, hallway, and bedroom 4.  ",Wh
Energy - RP BA-34 Lights - 1st FloorB,Lighting,Multiple,"Cumulative energy consumption by a subset of lighting on first floor from midnight; includes hallway, bathroom, kitchen, and dining room",Wh
Energy - RP BA-40 Dishwasher,Electrical,Kitchen,Cumulative energy consumption by dishwasher from midnight,Wh
Energy - RP BB-1 Plugs - GSHP Instrumentation,Instr,Basement,Cumulative energy consumption from midnight by instrumentation connected to ground source heat pump test apparatus,Wh
Energy - RP BB-2 Plugs - Inst Mudroom A,Instr,Mudroom,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in mudroom,Wh
Energy - RP BB-3 Plugs - HVAC Instrumentation,Instr,Basement,Cumulative energy consumption from midnight by instrumentation connected to heat pump,Wh
Energy - RP BB-4 Plugs - Inst BA1,Instr,Bath1,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bathroom 1,Wh
Energy - RP BB-5 Lights - Attic,Lighting,Attic,Cumulative energy consumption from midnight by lights activated in attic,Wh
Energy - RP BB-6 Plugs - Inst Kit A,Instr,Kitchen,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in kitchen,Wh
Energy - RP BB-7 Plugs - Inst Mudroom B,Instr,Mudroom,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in mudroom,Wh
Energy - RP BB-8 Parent A - Downstairs,Loads,Kitchen,Cumulative heat energy given off from midnight by emulator of parent A in the kitchen,Wh
Energy - RP BB-9 Plugs - Inst DR A,Instr,Dining Room,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in dining room,Wh
Energy - RP BB-10 Plugs - Inst BR4 A,Instr,Bedroom4,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 4,Wh
Energy - RP BB-11 Child B - Downstairs,Loads,Dining Room,Cumulative heat energy given off from midnight by emulator of child B in the dining room,Wh
Energy - RP BB-12 Plugs - Inst BR4 A,Instr,Bedroom4,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 4,Wh
Energy - RP BB-13 Plugs - Inst LR A,Instr,Living Room,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in living room,Wh
Energy - RP BB-15 Child A - Downstairs,Loads,LivingRoom,Cumulative heat energy given off from midnight by emulator of child A in the living room,Wh
Energy - RP BB-16 Plugs - Inst LR B,Instr,Living Room,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in living room,Wh
Energy - RP BB-18 Plugs - Inst BA2,Instr,Bath2,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bathroom 2,Wh
Energy - RP BB-19 Plugs - Inst MBA B,Instr,MBath,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in master bathroom,Wh
Energy - RP BB-21 Plugs - Inst MBR A,Instr,MBedroom,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in the master bedroom,Wh
Energy - RP BB-22 Plugs - Inst BR2/Hall,Instr,Bedroom 2,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 2,Wh
Energy - RP BB-23 Parent A - Upstairs,Loads,MBedroom,Cumulative heat energy given off from midnight by emulator of parent A in the master bedroom,Wh
Energy - RP BB-24 Plugs - Inst Hall,Instr,Entry Hallway,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in entry hallway,Wh
Energy - RP BB-25 Lighting Control Panel (RP-S #1),Instr,Basement,Cumulative energy consumption from midnight by lighting control panel located in basement,Wh
Energy - RP BB-26 Plugs - Inst BR3,Instr,Bedroom3,Cumulative energy consumption from midnight by instrumentation plugged into receptacles in bedroom 3,Wh
Energy - RP BB-27 Child A - Upstairs,Loads,Bedroom2,Cumulative heat energy given off from midnight by emulator of child A in bedroom 2,Wh
Energy - RP BB-28 Child B - Upstairs,Loads,Bedroom3,Cumulative heat energy given off from midnight by emulator of child B in bedroom 3,Wh
Energy - RP BB-29 Heat Load for Refrigerator,Instr,Kitchen,Cumulative heat energy added to compartment of refrigerator to simulate opening and adding warm items,Wh
Energy - RP BB-31 Lighting Control Panel (RP-S #2),Instr,Basement,Cumulative energy consumption from midnight by lighting control panel located in basement,Wh
Energy - RP BB-33 Lights - Basement,Lighting,Basement,Cumulative energy consumption from midnight by lights activated in basement,Wh
Energy - RP BB-34 Parent B - Upstairs,Loads,MBedroom,Cumulative heat energy given off from midnight by emulator of parent B in master bedroom,Wh
Energy - RP BB-39 Parent B - Downstairs,Loads,Dining Room,Cumulative heat energy given off from midnight by emulator of parent B in dining room,Wh
Energy - RP BB-40 Plugs - Inst Kit D,Instr,Kitchen,Cumulative energy consumption from midnight by instrumentation located in kitchen,Wh
Energy - RP BB-41 Plugs - DR B,Electrical,Dining Room,Cumulative energy consumption from receptacles in dining room from midnight,Wh
Energy - RP BB-42 Plugs - Attic,Electrical,Attic,Cumulative energy consumption from receptacles in attic from midnight,Wh
Power - RP B-1 Plugs - Base A (Heliodyne HXs),SHW,Basement,Instantaneous power used by solar water heater pumps,W
Power - RP B-2 Plugs - Base B,Electrical,Basement,Instantaneous power used at receptacle B in basement ,W
Power - RP B-3 Plugs - Base C,Electrical,Basement,Instantaneous power used at receptacle C in basement ,W
Power - RP B-4 Sump Pump,Electrical,Basement,Instantaneous power used by sump pump in basement,W
Power - RP B-5 Lights - Basement Stair,Lighting,Basement,Instantaneous power used by lights over basement stairs,W
Power - RP B-6 Spare,Electrical,Basement,Instantaneous power used by standby load in basement,W
Power - RP B-8 Plugs - BA1,Electrical,Bath1,Instantaneous power used by receptacles of bathroom 1,W
Power - RP B-13 Plugs - DR,Electrical,Dining Room,Instantaneous power used at receptacles of dining room ,W
Power - RP B-14 Plugs - BR4,Electrical,Bedroom4,Instantaneous power used at receptacles of bedroom 4 ,W
Power - RP B-15 Plugs - Entry Hall,Electrical,Entry Hallway,Instantaneous power used at receptacles in entry hallway ,W
Power - RP B-16 Plugs - LR,Electrical,Living Room,Instantaneous power used at receptacles of living room ,W
Power - RP B-17 Clothes Washer,Electrical,Utility,Instantaneous power used by clothes washer ,W
Power - RP B-18 Dryer (1of2),Electrical,Utility,Instantaneous power used by one leg of electrical supply to dryer; note that power from other leg is needed to get total power consumption by dryer,W
Power - RP B-19 Dehumidifier,HVAC,Basement,Instantaneous power used by dehumidifier,W
Power - RP B-20 Dryer (2of2),Electrical,Utility,Instantaneous power consumption of one leg of electrical supply to dryer; note that power from other leg is needed to get total power consumption by dryer,W
Power - RP B-25 HRV,HVAC,Basement,Instantaneous power consumption of heat recovery ventilator ,W
Power - RP B-26 Heat Pump WH (1of2),DHW,Basement,Instantaneous power consumption of one leg of electrical supply to heat pump water heater; note that power from other leg is needed to get total power consumption by heat pump water heater,W
Power - RP B-28 Heat Pump WH (2of2),DHW,Basement,Instantaneous power consumption of one leg of electrical supply to heat pump water heater; note that power from other leg is needed to get total power consumption by heat pump water heater,W
Power - RP B-33 PV (1of2),PV,Basement,Instantaneous power fed into breaker panel by one leg of electrical supply from PV inverters; note that power supplied from other leg is needed to get total power supply from inverters,W
Power - RP B-35 PV (2of2),PV,Basement,Instantaneous power fed into breaker panel by one leg of electrical supply from PV inverters; note that power supplied from other leg is needed to get total power supply from inverters,W
Power - RP BA-1 Make-Up Air Damper,Ventilation,Attic,Instantaneous power consumption of make-up air damper located in attic ,W
Power - RP BA-2 Lights - 2nd Floor,Lighting,Bath2,Instantaneous power consumption of lighting in bathroom 2 ,W
Power - RP BA-3 Plugs - MBA (East),Electrical,MBath,Instantaneous power consumption from receptacles on east side of master bathroom ,W
Power - RP BA-4 Plugs - BA2 (South),Electrical,Bath2,Instantaneous power consumption from receptacles on south side of bathroom 2 ,W
Power - RP BA-5 Plugs - MBA (West),Electrical,MBath,Instantaneous power consumption from receptacles on west side of master bathroom ,W
Power - RP BA-6 Plugs - BA2 (North),Electrical,Bath2,Instantaneous power consumption from receptacles on north side of bathroom 2 ,W
Power - RP BA-7 Plugs - BR3,Electrical,Bedroom3,Instantaneous power consumption from receptacles in bedroom 3 ,W
Power - RP BA-8 Refrigerator,Electrical,Kitchen,Instantaneous power consumption by refrigerator ,W
Power - RP BA-9 Plugs - Kit (Sink),Electrical ,Kitchen,Instantaneous power consumption by toaster,W
Power - RP BA-10 Garbage Disposal,Electrical ,Kitchen,Instantaneous power consumption by garbage disposal ,W
Power - RP BA-11 Plugs - Kit (Range),Electrical ,Kitchen,Instantaneous power consumption by blender ,W
Power - RP BA-12 Plugs - Kit Peninsula,Electrical ,Kitchen,Instantaneous power consumption by mixer and can opener,W
Power - RP BA-14 Microwave,Electrical ,Kitchen,Instantaneous power consumption by microwave oven ,W
Power - RP BA-21 Plugs - 2nd Floor,Electrical,Bath2,Instantaneous power consumption from receptacles in bathroom 2 ,W
Power - RP BA-23 Spare,Electrical,Basement,Instantaneous power consumption by computer network connection in basement,W
Power - RP BA-29 Plugs - BR2,Electrical,Bedroom2,Instantaneous power consumption from receptacles in bedroom 2 ,W
Power - RP BA-31 Plugs - MBR,Electrical,MBedroom,Instantaneous power consumption from receptacles in master bedroom ,W
Power - RP BA-32 Lights - 1st FloorA,Lighting,Multiple,"Instantaneous power consumption by a subset of lighting on first floor from midnight; includes living room, hallway, and bedroom 4.  ",W
Power - RP BA-34 Lights - 1st FloorB,Lighting,Multiple,"Instantaneous power consumption by a subset of lighting on first floor from midnight; includes hallway, bathroom, kitchen, and dining room",W
Power - RP BA-40 Dishwasher,Electrical,Kitchen,Instantaneous power consumption by dishwasher ,W
Power - RP BB-1 Plugs - GSHP Instrumentation,Instr,Basement,Instantaneous power consumption by instrumentation connected to ground source heat pump test apparatus,W
Power - RP BB-2 Plugs - Inst Mudroom A,Instr,Mudroom,Instantaneous power consumption by instrumentation plugged into receptacles in mudroom,W
Power - RP BB-3 Plugs - HVAC Instrumentation,Instr,Basement,Instantaneous power consumption by instrumentation connected to heat pump ,W
Power - RP BB-4 Plugs - Inst BA1,Instr,Bath1,Instantaneous power consumption by instrumentation plugged into receptacles in bathroom 1,W
Power - RP BB-5 Lights - Attic,Lighting,Attic,Instantaneous power consumption by lights activated in attic,W
Power - RP BB-6 Plugs - Inst Kit A,Instr,Kitchen,Instantaneous power consumption by instrumentation plugged into receptacles in kitchen,W
Power - RP BB-7 Plugs - Inst Mudroom B,Instr,Mudroom,Instantaneous power consumption by instrumentation plugged into receptacles in mudroom,W
Power - RP BB-8 Parent A - Downstairs,Loads,Kitchen,Instantaneous power consumption by emulator of parent A in the kitchen,W
Power - RP BB-9 Plugs - Inst DR A,Instr,Dining Room,Instantaneous power consumption by instrumentation plugged into receptacles in dining room,W
Power - RP BB-10 Plugs - Inst BR4 A,Instr,Bedroom4,Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 4,W
Power - RP BB-11 Child B - Downstairs,Loads,Dining Room,Instantaneous power consumption by emulator of child B in the dining room,W
Power - RP BB-12 Plugs - Inst BR4 A,Instr,Bedroom4,Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 4,W
Power - RP BB-13 Plugs - Inst LR A,Instr,Living Room,Instantaneous power consumption by instrumentation plugged into receptacles in living room,W
Power - RP BB-15 Child A - Downstairs,Loads,LivingRoom,Instantaneous power consumption by emulator of child A in the living room,W
Power - RP BB-16 Plugs - Inst LR B,Instr,Living Room,Instantaneous power consumption by instrumentation plugged into receptacles in living room,W
Power - RP BB-18 Plugs - Inst BA2,Instr,Bath2,Instantaneous power consumption by instrumentation plugged into receptacles in bathroom 2,W
Power - RP BB-19 Plugs - Inst MBA B,Instr,MBath,Instantaneous power consumption by instrumentation plugged into receptacles in master bathroom,W
Power - RP BB-21 Plugs - Inst MBR A,Instr,MBedroom,Instantaneous power by instrumentation plugged into receptacles in the master bedroom,W
Power - RP BB-22 Plugs - Inst BR2/Hall,Instr,Bedroom 2,Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 2,W
Power - RP BB-23 Parent A - Upstairs,Loads,MBedroom,Instantaneous power consumption by emulator of parent A in the master bedroom ,W
Power - RP BB-24 Plugs - Inst Hall,Instr,Entry Hallway,Instantaneous power consumption by instrumentation plugged into receptacles in entry hallway,W
Power - RP BB-25 Lighting Control Panel (RP-S #1),Instr,Basement,Instantaneous power consumption by lighting control panel located in basement,W
Power - RP BB-26 Plugs - Inst BR3,Instr,Bedroom3,Instantaneous power consumption by instrumentation plugged into receptacles in bedroom 3,W
Power - RP BB-27 Child A - Upstairs,Loads,Bedroom2,Instantaneous power consumption by emulator of child A in bedroom 2,W
Power - RP BB-28 Child B - Upstairs,Loads,Bedroom3,Instantaneous power consumption by emulator of child B in bedroom 3,W
Power - RP BB-29 Heat Load for Refrigerator,Instr,Kitchen,Instantaneous power of heat load in refrigerator to simulate opening and adding warm items,W
Power - RP BB-31 Lighting Control Panel (RP-S #2),Instr,Basement,Instantaneous power consumption by lighting control panel located in basement,W
Power - RP BB-33 Lights - Basement,Lighting,Basement,Instantaneous power consumption by lights activated in basement,W
Power - RP BB-34 Parent B - Upstairs,Loads,MBedroom,Instantaneous power consumption by emulator of parent B in master bedroom ,W
Power - RP BB-39 Parent B - Downstairs,Loads,Dining Room,Instantaneous power consumption by emulator of parent B in dining room ,W
Power - RP BB-40 Plugs - Inst Kit D,Instr,Kitchen,Instantaneous power consumption by instrumentation located in kitchen,W
Power - RP BB-41 Plugs - DR B,Electrical,Dining Room,Instantaneous power consumption from receptacles in dining room ,W
Power - RP BB-42 Plugs - Attic,Electrical,Attic,Instantaneous power consumption from receptacles in attic ,W