NewDataLabel,OldDataLabel,Diff
DHW_ClothesWasherColdFlow,DHW_ClothesWasherColdFlow,
DHW_ClothesWasherHotFlow,DHW_ClothesWasherHotFlow,
DHW_DishwasherHotFlow,DHW_DishwasherHotFlow,
DHW_SHWGlycolTempIn,DHW_GlycolTempSHWHX80galHXIn,Yes
DHW_SHWGlycolTempOut,DHW_GlycolTempSHWHX80galHXOut,Yes
DHW_HeatPumpWaterHeaterEnergyTotal,DHW_HeatPumpWaterHeaterEnergyTotal,
DHW_HeatPumpWaterHeaterPowerTotal,DHW_HeatPumpWaterHeaterPowerTotal,
DHW_ManifoldColdFlow,DHW_ManifoldColdFlow,
DHW_ManifoldHotFlow,DHW_ManifoldHotFlow,
DHW_MixValveColdFlow,DHW_MixValveColdFlow,
DHW_RoomTempBasementHPWH,DHW_RoomTempBasementHPWH,
DHW_SHWPumpsEnergywithStandby,DHW_SHWPumpsEnergywithStandby,
DHW_SHWPumpsPowerwithStandby,DHW_SHWPumpsPowerwithStandby,
DHW_StatusSolenoidColdMBATub,DHW_StatusSolenoidCold11MBATub,Yes
DHW_StatusSolenoidColdMBAShower,DHW_StatusSolenoidCold12MBAShower,Yes
DHW_StatusSolenoidColdKitchenSink,DHW_StatusSolenoidCold4KitchenSink,Yes
DHW_StatusSolenoidHotKitchenSink,DHW_StatusSolenoidHot3KitchenSink,Yes
DHW_StatusSolenoidHotMBATub,DHW_StatusSolenoidHot8MBATub,Yes
DHW_StatusSolenoidHotMBAShower,DHW_StatusSolenoidHot9MBAShower,Yes
DHW_WaterTempBAShowerMixed,DHW_WaterTempBA2ShowerMixed,Yes
DHW_WaterTempBAShwCold,DHW_WaterTempBA2ShwCold,Yes
DHW_WaterTempBAShwHot,DHW_WaterTempBA2ShwHot,Yes
DHW_WaterTempBASinkCold,DHW_WaterTempBA2SinkCold,Yes
DHW_WaterTempBASinkHot,DHW_WaterTempBA2SinkHot,Yes
DHW_WaterTempBASinkMixed,DHW_WaterTempBA2SinkMixed,Yes
DHW_WaterTempDishwasher,DHW_WaterTempDishwasher,
DHW_WaterTempHPWHIn,DHW_WaterTempHPWHIn,
DHW_WaterTempHPWHOut,DHW_WaterTempHPWHOut,
DHW_WaterTempKSinkCold,DHW_WaterTempKSinkCold,
DHW_WaterTempKSinkHot,DHW_WaterTempKSinkHot,
DHW_WaterTempKSinkMix,DHW_WaterTempKSinkMix,
DHW_WaterTempManifoldColdIn,DHW_WaterTempManifoldColdIn,
DHW_WaterTempManifoldHotIn,DHW_WaterTempManifoldHotIn,
DHW_WaterTempMBAShwCold,DHW_WaterTempMBAShwCold,
DHW_WaterTempMBAShwHot,DHW_WaterTempMBAShwHot,
DHW_WaterTempMBAShwMix,DHW_WaterTempMBAShwMix,
DHW_WaterTempMBASinkRMixed,DHW_WaterTempMBASinkRMixed,
DHW_WaterTempMBASinkRCold,DHW_WaterTempMBASinkRCold,
DHW_WaterTempMBASinkRHot,DHW_WaterTempMBASinkRHot,
DHW_WaterTempMBATubCold,DHW_WaterTempMBATubCold,
DHW_WaterTempMBATubHot,DHW_WaterTempMBATubHot,
DHW_WaterTempMBATubMix,DHW_WaterTempMBATubMix,
DHW_WaterTempMixValveColdIn,DHW_WaterTempMixValveColdIn,
DHW_WaterTempMixValveHotIn,DHW_WaterTempMixValveHotIn,
DHW_WaterTempSHWHX80galIn,DHW_WaterTempSHWHX80galHXIn,Yes
DHW_WaterTempSHWHX80galOut,DHW_WaterTempSHWHX80galHXOut,Yes
DHW_WaterTempSHWTank80galIn,DHW_WaterTempSolarPreheatTank80galIn,Yes
DHW_WaterTempSHWTank80galOut,DHW_WaterTempSolarPreheatTank80galOut,Yes
DHW_WaterTempWasherCold,DHW_WaterTempWasherCold,
DHW_WaterTempWasherHot,DHW_WaterTempWasherHot,
Elec_EnergyHeatPumpWH1of2,Elec_EnergyRPB26HeatPumpWH1of2,Yes
Elec_EnergyHeatPumpWH2of2,Elec_EnergyRPB28HeatPumpWH2of2,Yes
Elec_PowerHeatPumpWH1of2,Elec_PowerRPB26HeatPumpWH1of2,Yes
Elec_PowerHeatPumpWH2of2,Elec_PowerRPB28HeatPumpWH2of2,Yes
Elec_EnergyPlugsBaseAHeliodyneHXs,Elec_EnergyRPB1PlugsBaseAHeliodyneHXs,Yes
Elec_EnergyPlugsDR,Elec_EnergyRPB13PlugsDR,Yes
Elec_EnergyPlugsBR4,Elec_EnergyRPB14PlugsBR4,Yes
Elec_EnergyPlugsEntryHall,Elec_EnergyRPB15PlugsEntryHall,Yes
Elec_EnergyPlugsLR,Elec_EnergyRPB16PlugsLR,Yes
Elec_EnergyClothesWasher,Elec_EnergyRPB17ClothesWasher,Yes
Elec_EnergyDryer1of2,Elec_EnergyRPB18Dryer1of2,Yes
Elec_EnergyDryer2of2,Elec_EnergyRPB20Dryer2of2,Yes
Elec_EnergyPlugsBaseB,Elec_EnergyRPB2PlugsBaseB,Yes
Elec_EnergyPlugsBaseC,Elec_EnergyRPB3PlugsBaseC,Yes
Elec_EnergySumpPump,Elec_EnergyRPB4SumpPump,Yes
Elec_EnergySpare1,Elec_EnergyRPB6Spare,Yes
Elec_EnergyPlugsBA1,Elec_EnergyRPB8PlugsBA1,Yes
Elec_EnergyGarbageDisposal,Elec_EnergyRPBA10GarbageDisposal,Yes
Elec_EnergyPlugsKitRange,Elec_EnergyRPBA11PlugsKitRange,Yes
Elec_EnergyPlugsKitPeninsula,Elec_EnergyRPBA12PlugsKitPeninsula,Yes
Elec_EnergyMicrowave,Elec_EnergyRPBA14Microwave,Yes
Elec_EnergyPlugs2ndFloor,Elec_EnergyRPBA21Plugs2ndFloor,Yes
Elec_EnergySpare2,Elec_EnergyRPBA23Spare,Yes
Elec_EnergyPlugsBR2,Elec_EnergyRPBA29PlugsBR2,Yes
Elec_EnergyPlugsMBR,Elec_EnergyRPBA31PlugsMBR,Yes
Elec_EnergyPlugsMBAEast,Elec_EnergyRPBA3PlugsMBAEast,Yes
Elec_EnergyDishwasher,Elec_EnergyRPBA40Dishwasher,Yes
Elec_EnergyPlugsBA2South,Elec_EnergyRPBA4PlugsBA2South,Yes
Elec_EnergyPlugsMBAWest,Elec_EnergyRPBA5PlugsMBAWest,Yes
Elec_EnergyPlugsBA2North,Elec_EnergyRPBA6PlugsBA2North,Yes
Elec_EnergyPlugsBR3,Elec_EnergyRPBA7PlugsBR3,Yes
Elec_EnergyRefrigerator,Elec_EnergyRPBA8Refrigerator,Yes
Elec_EnergyPlugsKitSink,Elec_EnergyRPBA9PlugsKitSink,Yes
Elec_EnergyPlugsDRB,Elec_EnergyRPBB41PlugsDRB,Yes
Elec_EnergyPlugsAttic,Elec_EnergyRPBB42PlugsAttic,Yes
Elec_PowerPlugsDR,Elec_PowerRPB13PlugsDR,Yes
Elec_PowerPlugsBR4,Elec_PowerRPB14PlugsBR4,Yes
Elec_PowerPlugsEntryHall,Elec_PowerRPB15PlugsEntryHall,Yes
Elec_PowerPlugsLR,Elec_PowerRPB16PlugsLR,Yes
Elec_PowerClothesWasher,Elec_PowerRPB17ClothesWasher,Yes
Elec_PowerDryer1of2,Elec_PowerRPB18Dryer1of2,Yes
Elec_PowerDryer2of2,Elec_PowerRPB20Dryer2of2,Yes
Elec_PowerPlugsBaseB,Elec_PowerRPB2PlugsBaseB,Yes
Elec_PowerPlugsBaseC,Elec_PowerRPB3PlugsBaseC,Yes
Elec_PowerSumpPump,Elec_PowerRPB4SumpPump,Yes
Elec_PowerSpare1,Elec_PowerRPB6Spare,Yes
Elec_PowerPlugsBA1,Elec_PowerRPB8PlugsBA1,Yes
Elec_PowerGarbageDisposal,Elec_PowerRPBA10GarbageDisposal,Yes
Elec_PowerPlugsKitRange,Elec_PowerRPBA11PlugsKitRange,Yes
Elec_PowerPlugsKitPeninsula,Elec_PowerRPBA12PlugsKitPeninsula,Yes
Elec_PowerMicrowave,Elec_PowerRPBA14Microwave,Yes
Elec_PowerPlugs2ndFloor,Elec_PowerRPBA21Plugs2ndFloor,Yes
Elec_PowerSpare2,Elec_PowerRPBA23Spare,Yes
Elec_PowerPlugsBR2,Elec_PowerRPBA29PlugsBR2,Yes
Elec_PowerPlugsMBR,Elec_PowerRPBA31PlugsMBR,Yes
Elec_PowerPlugsMBAEast,Elec_PowerRPBA3PlugsMBAEast,Yes
Elec_PowerDishwasher,Elec_PowerRPBA40Dishwasher,Yes
Elec_PowerPlugsBA2South,Elec_PowerRPBA4PlugsBA2South,Yes
Elec_PowerPlugsMBAWest,Elec_PowerRPBA5PlugsMBAWest,Yes
Elec_PowerPlugsBA2North,Elec_PowerRPBA6PlugsBA2North,Yes
Elec_PowerPlugsBR3,Elec_PowerRPBA7PlugsBR3,Yes
Elec_PowerRefrigerator,Elec_PowerRPBA8Refrigerator,Yes
Elec_PowerPlugsKitSink,Elec_PowerRPBA9PlugsKitSink,Yes
Elec_PowerPlugsDRB,Elec_PowerRPBB41PlugsDRB,Yes
Elec_PowerPlugsAttic,Elec_PowerRPBB42PlugsAttic,Yes
Elec_EnergyHRV,Elec_EnergyRPB25HRV,Yes
Elec_PowerHRV,Elec_PowerRPB25HRV,Yes
HVAC_DehumidifierAirflow,HVAC_UltraAire70HAirflowCFM,Yes
HVAC_DehumidifierExitAirTemp,HVAC_UltraAire70HExitAirAvgTempF,Yes
HVAC_DehumidifierInletAirTemp,HVAC_UltraAire70HInletAirAvgTempF,Yes
HVAC_DehumidifierPower,HVAC_X1423UltraAire70HPowerW,Yes
HVAC_HeatPumpIndoorUnitPower,HVAC_X1421IDUnitPowerDemandW,Yes
HVAC_HeatPumpOutdoorUnitPower,HVAC_X1422ODUnitPowerDemandW,Yes
HVAC_HVACDewpointReturnAir,HVAC_HVACDewpointReturnAir,
HVAC_HVACDewpointSupplyAir,HVAC_HVACDewpointSupplyAir,
HVAC_HVACTempReturnAir,HVAC_HVACTempReturnAir,
HVAC_HVACTempSupplyAir,HVAC_HVACTempSupplyAir,
IndEnv_BasementRH,IndEnv_BasementRH,
IndEnv_Bedroom2RH,IndEnv_Bedroom2RH,
IndEnv_Bedroom3RH,IndEnv_Bedroom3RH,
IndEnv_KitchenRH,IndEnv_KitchenRH,
IndEnv_LivingRmRH,IndEnv_LivingRmRH,
IndEnv_MastBedRmRH,IndEnv_MastBedRmRH,
IndEnv_MBARH,IndEnv_MBARH,
IndEnv_RadiantTempBR2,IndEnv_RadiantTempBR2,
IndEnv_RadiantTempBR3,IndEnv_RadiantTempBR3,
IndEnv_RadiantTempKitchen,IndEnv_RadiantTempKitchen,
IndEnv_RadiantTempLR,IndEnv_RadiantTempLR,
IndEnv_RadiantTempMBR,IndEnv_RadiantTempMBR,
IndEnv_RoomTempAtticNE,IndEnv_RoomTempAtticNE,
IndEnv_RoomTempAtticNW,IndEnv_RoomTempAtticNW,
IndEnv_RoomTempAtticSE,IndEnv_RoomTempAtticSE,
IndEnv_RoomTempAtticSW,IndEnv_RoomTempAtticSW,
IndEnv_RoomTempBA1Temp,IndEnv_RoomTempBA1Temp,
IndEnv_RoomTempBA2Temp,IndEnv_RoomTempBA2Temp,
IndEnv_RoomTempBasementNE,IndEnv_RoomTempBasementNE,
IndEnv_RoomTempBasementNW,IndEnv_RoomTempBasementNW,
IndEnv_RoomTempBasementSE,IndEnv_RoomTempBasementSE,
IndEnv_RoomTempBasementSW,IndEnv_RoomTempBasementSW,
IndEnv_RoomTempBR2Temp,IndEnv_RoomTempBR2Temp,
IndEnv_RoomTempBR3Temp,IndEnv_RoomTempBR3Temp,
IndEnv_RoomTempBR4Temp,IndEnv_RoomTempBR4Temp,
IndEnv_RoomTempDRTemp,IndEnv_RoomTempDRTemp,
IndEnv_RoomTempHallLowerMid,IndEnv_RoomTempHallLowerMid,
IndEnv_RoomTempHallLowest,IndEnv_RoomTempHallLowest,
IndEnv_RoomTempHallMiddle,IndEnv_RoomTempHallMiddle,
IndEnv_RoomTempHallUpper,IndEnv_RoomTempHallUpper,
IndEnv_RoomTempHallUpperMid,IndEnv_RoomTempHallUpperMid,
IndEnv_RoomTempKitchenTemp,IndEnv_RoomTempKitchenTemp,
IndEnv_RoomTempLRTemp,IndEnv_RoomTempLRTemp,
IndEnv_RoomTempMBATemp,IndEnv_RoomTempMBATemp,
IndEnv_RoomTempMBRTemp,IndEnv_RoomTempMBRTemp,
IndEnv_RoomTempWDTemp,IndEnv_RoomTempWDTemp,
Elec_EnergyPlugsInstBR4A,Elec_EnergyRPBB10PlugsInstBR4A,Yes
Elec_EnergyPlugsInstBR4B,Elec_EnergyRPBB12PlugsInstBR4A,Yes
Elec_EnergyPlugsInstLRA,Elec_EnergyRPBB13PlugsInstLRA,Yes
Elec_EnergyPlugsInstLRB,Elec_EnergyRPBB16PlugsInstLRB,Yes
Elec_EnergyPlugsInstBA2,Elec_EnergyRPBB18PlugsInstBA2,Yes
Elec_EnergyPlugsInstMBAB,Elec_EnergyRPBB19PlugsInstMBAB,Yes
Elec_EnergyPlugsGSHPInstrumentation,Elec_EnergyRPBB1PlugsGSHPInstrumentation,Yes
Elec_EnergyPlugsInstMBRA,Elec_EnergyRPBB21PlugsInstMBRA,Yes
Elec_EnergyPlugsInstBR2Hall,Elec_EnergyRPBB22PlugsInstBR2Hall,Yes
Elec_EnergyPlugsInstHall,Elec_EnergyRPBB24PlugsInstHall,Yes
Elec_EnergyLightingControlPanelRPS1,Elec_EnergyRPBB25LightingControlPanelRPS1,Yes
Elec_EnergyPlugsInstBR3,Elec_EnergyRPBB26PlugsInstBR3,Yes
Elec_EnergyHeatLoadforRefrigerator,Elec_EnergyRPBB29HeatLoadforRefrigerator,Yes
Elec_EnergyPlugsInstMudroomA,Elec_EnergyRPBB2PlugsInstMudroomA,Yes
Elec_EnergyLightingControlPanelRPS2,Elec_EnergyRPBB31LightingControlPanelRPS2,Yes
Elec_EnergyPlugsHVACInstrumentation,Elec_EnergyRPBB3PlugsHVACInstrumentation,Yes
Elec_EnergyPlugsInstKitD,Elec_EnergyRPBB40PlugsInstKitD,Yes
Elec_EnergyPlugsInstBA1,Elec_EnergyRPBB4PlugsInstBA1,Yes
Elec_EnergyPlugsInstKitA,Elec_EnergyRPBB6PlugsInstKitA,Yes
Elec_EnergyPlugsInstMudroomB,Elec_EnergyRPBB7PlugsInstMudroomB,Yes
Elec_EnergyPlugsInstDRA,Elec_EnergyRPBB9PlugsInstDRA,Yes
Elec_PowerPlugsInstBR4A,Elec_PowerRPBB10PlugsInstBR4A,Yes
Elec_PowerPlugsInstBR4B,Elec_PowerRPBB12PlugsInstBR4A,Yes
Elec_PowerPlugsInstLRA,Elec_PowerRPBB13PlugsInstLRA,Yes
Elec_PowerPlugsInstLRB,Elec_PowerRPBB16PlugsInstLRB,Yes
Elec_PowerPlugsInstBA2,Elec_PowerRPBB18PlugsInstBA2,Yes
Elec_PowerPlugsInstMBAB,Elec_PowerRPBB19PlugsInstMBAB,Yes
Elec_PowerPlugsGSHPInstrumentation,Elec_PowerRPBB1PlugsGSHPInstrumentation,Yes
Elec_PowerPlugsInstMBRA,Elec_PowerRPBB21PlugsInstMBRA,Yes
Elec_PowerPlugsInstBR2Hall,Elec_PowerRPBB22PlugsInstBR2Hall,Yes
Elec_PowerPlugsInstHall,Elec_PowerRPBB24PlugsInstHall,Yes
